,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
58,Census_Urban_Rural,Rural,Rural,550,254.0,0.4618181818181818,296.0,0.5381818181818182,0.02051033591731266,0.03811976819059884,-0.6198040475522447,0.02348771771438818
59,PROPERTY_TYPE,Condo,Condo,114,83.0,0.7280701754385965,31.0,0.2719298245614035,0.006702196382428941,0.003992273019961365,0.5180745430647308,0.022160526259676544
60,PROPERTY_TYPE,MH,MH,352,183.0,0.5198863636363636,169.0,0.48011363636363635,0.014777131782945737,0.021764327108821636,-0.3871914223283735,0.022160526259676544
61,PROPERTY_TYPE,Other,Other,1040,683.0,0.6567307692307692,357.0,0.34326923076923077,0.055151808785529714,0.04597553122987766,0.18198021754443003,0.022160526259676544
62,PROPERTY_TYPE,PUD,PUD,451,305.0,0.6762749445676275,146.0,0.3237250554323725,0.024628552971576227,0.018802318094011592,0.26992629465235424,0.022160526259676544
63,PROPERTY_TYPE,Single Family,Single Family,15259,9142.0,0.5991218297398256,6117.0,0.4008781702601743,0.7382105943152455,0.7877656149388281,-0.06497146059759618,0.022160526259676544
64,PROPERTY_TYPE,Townhouse,Townhouse,39,23.0,0.5897435897435898,16.0,0.41025641025641024,0.001857235142118863,0.00206052801030264,-0.10387336655735258,0.022160526259676544
65,PROPERTY_TYPE,Two to Four Family,Two to Four Family,2022,1387.0,0.6859545004945599,635.0,0.31404549950544014,0.11199935400516796,0.08177720540888603,0.31449456117541896,0.022160526259676544
66,PROPERTY_TYPE,Unknown,Unknown,64,46.0,0.71875,18.0,0.28125,0.003714470284237726,0.00231809401159047,0.4714907783462094,0.022160526259676544
67,PROPERTY_TYPE,,,808,532.0,0.6584158415841584,276.0,0.3415841584158416,0.042958656330749356,0.03554410817772054,0.18946376337777368,0.022160526259676544
68,state1,AL,AL,116,56.0,0.4827586206896552,60.0,0.5172413793103449,0.004521963824289405,0.0077269800386349004,-0.5357717317336725,0.12149404671633489
69,state1,AR,AR,95,50.0,0.5263157894736842,45.0,0.47368421052631576,0.004037467700258398,0.005795235028976175,-0.36141834458889466,0.12149404671633489
70,state1,AZ,AZ,561,359.0,0.6399286987522281,202.0,0.3600713012477718,0.028989018087855298,0.02601416613007083,0.10827583084035323,0.12149404671633489
71,state1,CA,CA,1898,1337.0,0.7044257112750263,561.0,0.29557428872497366,0.10796188630490956,0.07224726336123631,0.4016838113325261,0.12149404671633489
72,state1,CO,CO,282,182.0,0.6453900709219859,100.0,0.3546099290780142,0.014696382428940568,0.0128783000643915,0.13205764084198307,0.12149404671633489
73,state1,CT,CT,282,145.0,0.5141843971631206,137.0,0.4858156028368794,0.011708656330749355,0.017643271088216356,-0.4100260436542714,0.12149404671633489
74,state1,DE,DE,60,44.0,0.7333333333333333,16.0,0.26666666666666666,0.0035529715762273903,0.00206052801030264,0.5448220514317591,0.12149404671633489
75,state1,FL,FL,5703,3907.0,0.6850780291074873,1796.0,0.3149219708925127,0.3154877260981912,0.23129426915647133,0.3104289859462048,0.12149404671633489
76,state1,GA,GA,601,392.0,0.6522462562396006,209.0,0.34775374376039936,0.03165374677002584,0.026915647134578235,0.16214872757893065,0.12149404671633489
77,state1,HI,HI,30,11.0,0.36666666666666664,19.0,0.6333333333333333,0.0008882428940568476,0.002446877012234385,-1.013322566614791,0.12149404671633489
